ParticipantID,TextID,HighlightedSentences,SentencesScores,TextSummarization,Q1,Q2,Q3,TimeTextReading,TimeTextSummarization,TimeHighlighting,TimeRanking,TimeQ1,TimeQ2,TimeQ3
123456789,9,"[""Shocked residents of Deal gathered outside the barracks to lay flowers in tribute to the young men they called the ``Bandies.''."", ""Archbishop of Canterbury Robert Runcie, spiritual leader of the Church of England, visited the injured and said he was impressed ``by their strength and determination that evil will not defeat them.''."", 'Explosives experts wearing white protective overalls were painstakingly examining the house Saturday, and Churchill-Coleman said they would continue for the next two or three days..']","[""Shocked residents of Deal gathered outside the barracks to lay flowers in tribute to the young men they called the ``Bandies.''."", ""Archbishop of Canterbury Robert Runcie, spiritual leader of the Church of England, visited the injured and said he was impressed ``by their strength and determination that evil will not defeat them.''."", '5']","a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
a a a a
",1,2,3,2.5,7.7,8.9,0,3.8,2.9,2.6
123456789,1,"['That suggested a bigger quake might happen in the San Francisco Bay area sooner than some believed..', 'The last great southern California quake, in 1857, killed very few people in a region that was then sparsely populated..']","['That suggested a bigger quake might happen in the San Francisco Bay area sooner than some believed..', 'The last great southern California quake, in 1857, killed very few people in a region that was then sparsely populated..']"," a aa  a a a a
 a aa  a a a a
 a aa  a a a a
 a aa  a a a a
 a aa  a a a a
 a aa  a a a a
 a aa  a a a a
 a aa  a a a a
",1,2,4,1.2,7.2,3.3,0,1.5,1.5,5.6
123456789,9,[],[],"a a a a a
a a a a a
a a a a a
a a a a a
a a a a a
a a a a a
a a a a a
a a a a a
",3,4,3,1.7,6.5,2.6,0,1.7,2.1,1.2
123456789,2,"[""One Soviet lawmaker called Sakharov a man 'such as maybe appears once in a hundred years.'."", ""Aase Lionaes, chairman of the Norwegian Nobel Committee that awarded Sakharov the Peace Prize in 1975, said he 'fell in the struggle for democratic reforms..""]","['2', '5']","a aa  a a a
a aa  a a a
a aa  a a a
a aa  a a a
a aa  a a a
a aa  a a a
a aa  a a a
",4,3,3,2.9,5.7,13.9,0,3.7,1.3,2.3
123456789,8,"[""The union's announcement produced little immediate reaction on South African financial markets, where analysts said a strike had been expected and probably wouldn't have much impact unless it lasted more than a month..""]",['2'],"a a a a a a
a a a a a a
a a a a a a
a a a a a a
a a a a a a
a a a a a a
",2,3,4,1.1,4.4,5.6,0,1.5,1.3,1.6
123456789,2,"['The Soviet Congress stood for a minute of silence for their colleague, once considered a national hero for discovering the Soviet hydrogen bomb but later reviled by Kremlin leadership for his uncompromising stands for human freedom..', ""'He was a person who had his own ideas, his own convictions which he expressed openly and directly.."", ""Aase Lionaes, chairman of the Norwegian Nobel Committee that awarded Sakharov the Peace Prize in 1975, said he 'fell in the struggle for democratic reforms.."", ""Lech Walesa, a fellow Nobel Peace Prize laureate, said Sakharov's death was 'a great loss for reform both in the Soviet Union and everywhere else.'."", ""NATO Secretary General Manfred Woerner said, 'The ministers expressed deeply felt sense of loss at the passing of Andrei Sakharov.'.""]","['1', '4', '2', '5', '3']","a a a aa aa 
a a a aa aa 
a a a aa aa 
a a a aa aa 
a a a aa aa 
a a a aa aa 
a a a aa aa 
a a a aa aa 
a a a aa aa 
",1,3,4,1.2,4.8,18.8,0,1.6,2.0,5.1
123456789,9,"['Jean Cleatheroe, whose son Andrew was killed, joined local residents and opposition politicians in denouncing the use of private security firms to protect the music school and 29 other military establishments in Britain..', ""Friday's attack was the worst since July 1982, when 11 servicemen were fatally wounded in bombings in central London.."", 'Police investigating the attack were searching a nearby house that had been rented briefly by three men with Irish accents..', 'There was no proof the house was an IRA hideout, the commander said..', 'Police said all 10 men killed during a coffee break between morning band practices were servicemen..']","['3', '2', '1', '4', '5']","This is a text summarization in my own words.
This is a text summarization in my own words.
This is a text summarization in my own words.
This is a text summarization in my own words.
This is a text summarization in my own words.",1,3,4,27.0,26.9,50.7,0,4.5,3.9,3.9
123456789,9,"['Jean Cleatheroe, whose son Andrew was killed, joined local residents and opposition politicians in denouncing the use of private security firms to protect the music school and 29 other military establishments in Britain..', 'An 11-year-old Royal Marines cadet in full dress uniform marched to the barracks and smartly saluted the Royal Marines sign..', ""``We know when the men arrived and when they left,'' Cmdr.."", ""``By virtue of the fact that the house is very near the base and the men are Irish, we are very anxious to talk to them,'' he said.."", 'The Irish Republican Army on Friday claimed responsibility for the explosion, which also severely damaged several nearby houses..']","['2', '4', '3', '1', '5']","This is the text summarization in my own words.
This is the text summarization in my own words.
This is the text summarization in my own words.
This is the text summarization in my own words.",1,2,3,42.0,22.0,32.4,0,3.5,2.5,3.2
123456789,2,"[""One Soviet lawmaker called Sakharov a man 'such as maybe appears once in a hundred years.'."", '..', ""His death represents a great loss, especially at a time with hopes of a positive development in the Soviet Union and in all Eastern Europe.'."", ""'He was one of those who would always say the truth must be found and was never afraid of stating that and letting everyone know.'."", ""NATO Secretary General Manfred Woerner said, 'The ministers expressed deeply felt sense of loss at the passing of Andrei Sakharov.'.""]","['1', '2', '3', '4', '5']","d
d
d",1,2,3,5.7,2.2,21.6,0,2.7,2.1,3.6
123456789,2,"[""'He was a person who had his own ideas, his own convictions which he expressed openly and directly.."", ""Bush said that 'all of us are diminished' and that Sakharov 'embodied all of what is good and decent in the human spirit.'."", ""Aase Lionaes, chairman of the Norwegian Nobel Committee that awarded Sakharov the Peace Prize in 1975, said he 'fell in the struggle for democratic reforms.."", ""Lech Walesa, a fellow Nobel Peace Prize laureate, said Sakharov's death was 'a great loss for reform both in the Soviet Union and everywhere else.'."", ""'He was one of those who would always say the truth must be found and was never afraid of stating that and letting everyone know.'.""]","['1', '4', '3', '2', '5']","a
a
a",4,3,2,6.1,2.6,12.0,0,5.8,2.8,3.2
123456789,2,"['\tWorld leaders from President Bush to President Mikhail S. Gorbachev today praised Andrei D. Sakharov as a tremendous force for freedom who outlived his Soviet persecutors and saw the liberty he championed take root throughout Eastern Europe..', 'The 68-year-old scientist and human rights activist died Thursday of an apparent heart attack in his Moscow apartment..', 'The Soviet Congress stood for a minute of silence for their colleague, once considered a national hero for discovering the Soviet hydrogen bomb but later reviled by Kremlin leadership for his uncompromising stands for human freedom..', ""Gorbachev, who freed the physicist from seven years of internal exile, called Sakharov a 'man of conviction and sincerity.'."", ""'He was a person who had his own ideas, his own convictions which he expressed openly and directly..""]","['1', '2', '3', '4', '5']","a
a
a",3W,3W,4W,6.0,2.6,15.3,0,2.8,13.7,6.8
123456789,2,"['The 68-year-old scientist and human rights activist died Thursday of an apparent heart attack in his Moscow apartment..', 'The Soviet Congress stood for a minute of silence for their colleague, once considered a national hero for discovering the Soviet hydrogen bomb but later reviled by Kremlin leadership for his uncompromising stands for human freedom..', ""Gorbachev, who freed the physicist from seven years of internal exile, called Sakharov a 'man of conviction and sincerity.'."", ""Bush said that 'all of us are diminished' and that Sakharov 'embodied all of what is good and decent in the human spirit.'."", ""Aase Lionaes, chairman of the Norwegian Nobel Committee that awarded Sakharov the Peace Prize in 1975, said he 'fell in the struggle for democratic reforms..""]","['1', '2', '3', '4', '5']","1
1
1",1C,4W,1C,5.7,2.7,13.6,0,2.8,2.3,2.9
