index,word,fixation_order,samples_duration_in_fixations,total_fixations,total_duration_samples_in_fixation,count_letters,count_fixation_normalized
1,Title,[],{},0,0,5,0.0
2,Ever,[],{},0,0,4,0.0
3,since,[],{},0,0,5,0.0
4,the,[],{},0,0,3,0.0
5,1906,[],{},0,0,4,0.0
6,earthquake,[],{},0,0,10,0.0
7,devastated,[],{},0,0,10,0.0
8,San,[],{},0,0,3,0.0
9,"Francisco,",[],{},0,0,10,0.0
10,many,[],{},0,0,4,0.0
11,scientists,[],{},0,0,10,0.0
12,have,[],{},0,0,4,0.0
13,believed,[],{},0,0,8,0.0
14,the,[],{},0,0,3,0.0
15,next,[],{},0,0,4,0.0
16,``big,[],{},0,0,5,0.0
17,one'',[],{},0,0,5,0.0
18,would,[],{},0,0,5,0.0
19,strike,[],{},0,0,6,0.0
20,the,[],{},0,0,3,0.0
21,Los,[],{},0,0,3,0.0
22,Angeles,[],{},0,0,7,0.0
23,end,[],{},0,0,3,0.0
24,of,[],{},0,0,2,0.0
25,the,[],{},0,0,3,0.0
26,mighty,[],{},0,0,6,0.0
27,San,[],{},0,0,3,0.0
28,Andreas,[],{},0,0,7,0.0
29,Fault.,[],{},0,0,6,0.0
30,But,[],{},0,0,3,0.0
31,studies,[],{},0,0,7,0.0
32,in,[],{},0,0,2,0.0
33,recent,[],{},0,0,6,0.0
34,years,[],{},0,0,5,0.0
35,have,[],{},0,0,4,0.0
36,reminded,[],{},0,0,8,0.0
37,the,[],{},0,0,3,0.0
38,Bay,[],{},0,0,3,0.0
39,Area,[],{},0,0,4,0.0
40,that,[],{},0,0,4,0.0
41,it,[],{},0,0,2,0.0
42,also,[],{},0,0,4,0.0
43,faced,[],{},0,0,5,0.0
44,another,[],{},0,0,7,0.0
45,seismic,[],{},0,0,7,0.0
46,"disaster,",[],{},0,0,9,0.0
47,and,[],{},0,0,3,0.0
48,those,[],{},0,0,5,0.0
49,studies,[],{},0,0,7,0.0
50,became,[],{},0,0,6,0.0
51,a,[],{},0,0,1,0.0
52,reality,[],{},0,0,7,0.0
53,Tuesday,[],{},0,0,7,0.0
54,when,[],{},0,0,4,0.0
55,a,[],{},0,0,1,0.0
56,quake,[],{},0,0,5,0.0
57,measuring,[],{},0,0,9,0.0
58,6.9,[],{},0,0,3,0.0
59,on,[],{},0,0,2,0.0
60,the,[],{},0,0,3,0.0
61,Richter,[],{},0,0,7,0.0
62,scale,[],{},0,0,5,0.0
63,rocked,[],{},0,0,6,0.0
64,the,[],{},0,0,3,0.0
65,Bay,[],{},0,0,3,0.0
66,area.,[],{},0,0,5,0.0
67,A,[],{},0,0,1,0.0
68,1985,[],{},0,0,4,0.0
69,paper,[],{},0,0,5,0.0
70,in,[],{},0,0,2,0.0
71,the,[],{},0,0,3,0.0
72,Geophysical,[],{},0,0,11,0.0
73,Research,[],{},0,0,8,0.0
74,Letters,[],{},0,0,7,0.0
75,predicted,[],{},0,0,9,0.0
76,a,[],{},0,0,1,0.0
77,6.9-magnitude,[],{},0,0,13,0.0
78,quake,[],{},0,0,5,0.0
79,could,[],{},0,0,5,0.0
80,happen,[],{},0,0,6,0.0
81,any,[],{},0,0,3,0.0
82,time,[],{},0,0,4,0.0
83,on,[],{},0,0,2,0.0
84,a,[],{},0,0,1,0.0
85,portion,[],{},0,0,7,0.0
86,of,[],{},0,0,2,0.0
87,the,[],{},0,0,3,0.0
88,San,[],{},0,0,3,0.0
